COU,Domain,Measure,Scope,Year,Value
AUT,Terrestrial,Percent of total land/EEZ area,Country,2004,24.7369249
AUT,Terrestrial,Percent of total land/EEZ area,Country,2005,25.01943077
AUT,Terrestrial,Percent of total land/EEZ area,Country,2006,26.09228811
AUT,Terrestrial,Percent of total land/EEZ area,Country,2007,26.1485724
AUT,Terrestrial,Percent of total land/EEZ area,Country,2008,26.24981975
AUT,Terrestrial,Percent of total land/EEZ area,Country,2009,26.52374534
AUT,Terrestrial,Percent of total land/EEZ area,Country,2010,26.71680175
AUT,Terrestrial,Percent of total land/EEZ area,Country,2011,26.78190466
AUT,Terrestrial,Percent of total land/EEZ area,Country,2012,27.40526234
AUT,Terrestrial,Percent of total land/EEZ area,Country,2013,27.53461013
AUT,Terrestrial,Percent of total land/EEZ area,Country,2014,27.69077131
AUT,Terrestrial,Percent of total land/EEZ area,Country,2015,27.92501308
AUT,Terrestrial,Percent of total land/EEZ area,Country,2016,28.41172973
AUT,Terrestrial,Percent of total land/EEZ area,Country,2017,28.41312402
AUT,Terrestrial,Percent of total land/EEZ area,Country,2018,28.54515315
AUT,Terrestrial,Percent of total land/EEZ area,Country,2019,29.21892
AUT,Terrestrial,Percent of total land/EEZ area,Country,2020,29.21892
AUT,Terrestrial,Percent of total land/EEZ area,Country,2021,29.21892
BEL,Terrestrial,Percent of total land/EEZ area,Country,1950,5.887123552
BEL,Terrestrial,Percent of total land/EEZ area,Country,1960,5.906810963
BEL,Terrestrial,Percent of total land/EEZ area,Country,1970,5.951181098
BEL,Terrestrial,Percent of total land/EEZ area,Country,1980,6.006423385
BEL,Terrestrial,Percent of total land/EEZ area,Country,1985,6.092519078
BEL,Terrestrial,Percent of total land/EEZ area,Country,1990,9.196665482
BEL,Terrestrial,Percent of total land/EEZ area,Country,1995,9.290988749
BEL,Terrestrial,Percent of total land/EEZ area,Country,2000,9.777884867
BEL,Terrestrial,Percent of total land/EEZ area,Country,2001,9.831951786
BEL,Terrestrial,Percent of total land/EEZ area,Country,2002,9.8880756
BEL,Terrestrial,Percent of total land/EEZ area,Country,2003,12.64441108
BEL,Terrestrial,Percent of total land/EEZ area,Country,2004,13.64024146
BEL,Terrestrial,Percent of total land/EEZ area,Country,2005,13.66404266
BEL,Terrestrial,Percent of total land/EEZ area,Country,2006,13.67462097
BEL,Terrestrial,Percent of total land/EEZ area,Country,2007,13.68373007
BEL,Terrestrial,Percent of total land/EEZ area,Country,2008,13.68666849
BEL,Terrestrial,Percent of total land/EEZ area,Country,2009,13.8050868
BEL,Terrestrial,Percent of total land/EEZ area,Country,2010,13.80655601
BEL,Terrestrial,Percent of total land/EEZ area,Country,2011,13.82859415
BEL,Terrestrial,Percent of total land/EEZ area,Country,2012,13.83564636
BEL,Terrestrial,Percent of total land/EEZ area,Country,2013,13.85357072
BEL,Terrestrial,Percent of total land/EEZ area,Country,2014,14.34898825
BEL,Terrestrial,Percent of total land/EEZ area,Country,2015,14.8367659
BEL,Terrestrial,Percent of total land/EEZ area,Country,2016,14.84087968
BEL,Terrestrial,Percent of total land/EEZ area,Country,2017,14.87584688
BEL,Terrestrial,Percent of total land/EEZ area,Country,2018,14.89024513
BEL,Terrestrial,Percent of total land/EEZ area,Country,2019,15.55902942
BEL,Terrestrial,Percent of total land/EEZ area,Country,2020,15.55902942
BEL,Terrestrial,Percent of total land/EEZ area,Country,2021,15.55902942
CAN,Terrestrial,Percent of total land/EEZ area,Country,1950,1.967300941
CAN,Terrestrial,Percent of total land/EEZ area,Country,1960,2.161058801
CAN,Terrestrial,Percent of total land/EEZ area,Country,1970,3.397678093
CAN,Terrestrial,Percent of total land/EEZ area,Country,1980,4.478051217
CAN,Terrestrial,Percent of total land/EEZ area,Country,1985,5.075996054
CAN,Terrestrial,Percent of total land/EEZ area,Country,1990,5.730494707
CAN,Terrestrial,Percent of total land/EEZ area,Country,1995,6.299460978
CAN,Terrestrial,Percent of total land/EEZ area,Country,2000,7.207514702
CAN,Terrestrial,Percent of total land/EEZ area,Country,2001,7.489164938
CAN,Terrestrial,Percent of total land/EEZ area,Country,2002,7.563334011
CAN,Terrestrial,Percent of total land/EEZ area,Country,2003,8.122792356
CAN,Terrestrial,Percent of total land/EEZ area,Country,2004,8.217085256
CAN,Terrestrial,Percent of total land/EEZ area,Country,2005,8.4695852
CAN,Terrestrial,Percent of total land/EEZ area,Country,2006,8.53704482
CAN,Terrestrial,Percent of total land/EEZ area,Country,2007,8.798666353
CAN,Terrestrial,Percent of total land/EEZ area,Country,2008,9.318486747
CAN,Terrestrial,Percent of total land/EEZ area,Country,2009,9.634374577
CAN,Terrestrial,Percent of total land/EEZ area,Country,2010,9.705072057
CAN,Terrestrial,Percent of total land/EEZ area,Country,2011,9.949446148
CAN,Terrestrial,Percent of total land/EEZ area,Country,2012,10.11577008
CAN,Terrestrial,Percent of total land/EEZ area,Country,2013,10.45712593
CAN,Terrestrial,Percent of total land/EEZ area,Country,2014,10.48506537
CAN,Terrestrial,Percent of total land/EEZ area,Country,2015,10.72933528
CAN,Terrestrial,Percent of total land/EEZ area,Country,2016,10.77018539
CAN,Terrestrial,Percent of total land/EEZ area,Country,2017,10.82284544
CAN,Terrestrial,Percent of total land/EEZ area,Country,2018,11.26829111
CAN,Terrestrial,Percent of total land/EEZ area,Country,2019,11.58154535
CAN,Terrestrial,Percent of total land/EEZ area,Country,2020,11.90463909
CAN,Terrestrial,Percent of total land/EEZ area,Country,2021,11.90463909
CZE,Terrestrial,Percent of total land/EEZ area,Country,1950,0.1468410323
CZE,Terrestrial,Percent of total land/EEZ area,Country,1960,0.6905528079
CZE,Terrestrial,Percent of total land/EEZ area,Country,1970,5.009507528
CZE,Terrestrial,Percent of total land/EEZ area,Country,1980,11.7037445
CZE,Terrestrial,Percent of total land/EEZ area,Country,1985,12.73951658
CZE,Terrestrial,Percent of total land/EEZ area,Country,1990,13.38024628
CZE,Terrestrial,Percent of total land/EEZ area,Country,1995,15.39853913
CZE,Terrestrial,Percent of total land/EEZ area,Country,2000,15.59943138
CZE,Terrestrial,Percent of total land/EEZ area,Country,2001,15.60891605
CZE,Terrestrial,Percent of total land/EEZ area,Country,2002,15.6189086
CZE,Terrestrial,Percent of total land/EEZ area,Country,2003,15.63090729
CZE,Terrestrial,Percent of total land/EEZ area,Country,2004,17.89111645
CZE,Terrestrial,Percent of total land/EEZ area,Country,2005,19.22971245
CZE,Terrestrial,Percent of total land/EEZ area,Country,2006,19.28364939
CZE,Terrestrial,Percent of total land/EEZ area,Country,2007,19.28879168
CZE,Terrestrial,Percent of total land/EEZ area,Country,2008,20.98586263
CZE,Terrestrial,Percent of total land/EEZ area,Country,2009,21.08413756
CZE,Terrestrial,Percent of total land/EEZ area,Country,2010,21.08790858
CZE,Terrestrial,Percent of total land/EEZ area,Country,2011,21.45735376
CZE,Terrestrial,Percent of total land/EEZ area,Country,2012,21.4580394
CZE,Terrestrial,Percent of total land/EEZ area,Country,2013,21.46192469
CZE,Terrestrial,Percent of total land/EEZ area,Country,2014,21.46592425
CZE,Terrestrial,Percent of total land/EEZ area,Country,2015,21.8781076
CZE,Terrestrial,Percent of total land/EEZ area,Country,2016,21.87833614
CZE,Terrestrial,Percent of total land/EEZ area,Country,2017,21.88222143
CZE,Terrestrial,Percent of total land/EEZ area,Country,2018,21.90953272
CZE,Terrestrial,Percent of total land/EEZ area,Country,2019,21.91078972
CZE,Terrestrial,Percent of total land/EEZ area,Country,2020,21.91078972
CZE,Terrestrial,Percent of total land/EEZ area,Country,2021,21.91078972
DNK,Terrestrial,Percent of total land/EEZ area,Country,1950,0.202745075
DNK,Terrestrial,Percent of total land/EEZ area,Country,1960,0.3847894516
DNK,Terrestrial,Percent of total land/EEZ area,Country,1970,0.5418712214
DNK,Terrestrial,Percent of total land/EEZ area,Country,1980,4.724224079
DNK,Terrestrial,Percent of total land/EEZ area,Country,1985,8.672374918
DNK,Terrestrial,Percent of total land/EEZ area,Country,1990,8.736709441
DNK,Terrestrial,Percent of total land/EEZ area,Country,1995,15.22231941
DNK,Terrestrial,Percent of total land/EEZ area,Country,2000,15.24870265
DNK,Terrestrial,Percent of total land/EEZ area,Country,2001,15.25885006
DNK,Terrestrial,Percent of total land/EEZ area,Country,2002,15.27610064
DNK,Terrestrial,Percent of total land/EEZ area,Country,2003,15.28401561
DNK,Terrestrial,Percent of total land/EEZ area,Country,2004,15.4648423
DNK,Terrestrial,Percent of total land/EEZ area,Country,2005,16.18530778
DNK,Terrestrial,Percent of total land/EEZ area,Country,2006,16.19992004
DNK,Terrestrial,Percent of total land/EEZ area,Country,2007,16.22508559
DNK,Terrestrial,Percent of total land/EEZ area,Country,2008,16.22894161
DNK,Terrestrial,Percent of total land/EEZ area,Country,2009,16.29124665
DNK,Terrestrial,Percent of total land/EEZ area,Country,2010,16.30017636
DNK,Terrestrial,Percent of total land/EEZ area,Country,2011,16.3011911
DNK,Terrestrial,Percent of total land/EEZ area,Country,2012,16.30342353
DNK,Terrestrial,Percent of total land/EEZ area,Country,2013,16.3062648
DNK,Terrestrial,Percent of total land/EEZ area,Country,2014,16.30829428
DNK,Terrestrial,Percent of total land/EEZ area,Country,2015,16.30829428
DNK,Terrestrial,Percent of total land/EEZ area,Country,2016,16.3214859
DNK,Terrestrial,Percent of total land/EEZ area,Country,2017,16.32513897
DNK,Terrestrial,Percent of total land/EEZ area,Country,2018,16.32513897
DNK,Terrestrial,Percent of total land/EEZ area,Country,2019,16.32513897
DNK,Terrestrial,Percent of total land/EEZ area,Country,2020,16.32513897
DNK,Terrestrial,Percent of total land/EEZ area,Country,2021,16.32513897
FIN,Terrestrial,Percent of total land/EEZ area,Country,1950,0.0277107067
FIN,Terrestrial,Percent of total land/EEZ area,Country,1960,1.365818615
FIN,Terrestrial,Percent of total land/EEZ area,Country,1970,1.368742591
FIN,Terrestrial,Percent of total land/EEZ area,Country,1980,1.632249146
FIN,Terrestrial,Percent of total land/EEZ area,Country,1985,2.879821106
FIN,Terrestrial,Percent of total land/EEZ area,Country,1990,4.080877708
FIN,Terrestrial,Percent of total land/EEZ area,Country,1995,8.659206862
FIN,Terrestrial,Percent of total land/EEZ area,Country,2000,10.10230965
FIN,Terrestrial,Percent of total land/EEZ area,Country,2001,10.1142738
FIN,Terrestrial,Percent of total land/EEZ area,Country,2002,10.13380274
FIN,Terrestrial,Percent of total land/EEZ area,Country,2003,10.15164168
FIN,Terrestrial,Percent of total land/EEZ area,Country,2004,10.57111149
FIN,Terrestrial,Percent of total land/EEZ area,Country,2005,10.67122413
FIN,Terrestrial,Percent of total land/EEZ area,Country,2006,10.68549528
FIN,Terrestrial,Percent of total land/EEZ area,Country,2007,10.69566213
FIN,Terrestrial,Percent of total land/EEZ area,Country,2008,10.71409123
FIN,Terrestrial,Percent of total land/EEZ area,Country,2009,10.72637729
FIN,Terrestrial,Percent of total land/EEZ area,Country,2010,10.74008511
FIN,Terrestrial,Percent of total land/EEZ area,Country,2011,10.761465
FIN,Terrestrial,Percent of total land/EEZ area,Country,2012,10.77798949
FIN,Terrestrial,Percent of total land/EEZ area,Country,2013,10.7971697
FIN,Terrestrial,Percent of total land/EEZ area,Country,2014,10.9856186
FIN,Terrestrial,Percent of total land/EEZ area,Country,2015,13.07854148
FIN,Terrestrial,Percent of total land/EEZ area,Country,2016,13.08286038
FIN,Terrestrial,Percent of total land/EEZ area,Country,2017,13.21178357
FIN,Terrestrial,Percent of total land/EEZ area,Country,2018,13.22600107
FIN,Terrestrial,Percent of total land/EEZ area,Country,2019,13.24982208
FIN,Terrestrial,Percent of total land/EEZ area,Country,2020,13.25054637
FIN,Terrestrial,Percent of total land/EEZ area,Country,2021,13.25054637
FRA,Terrestrial,Percent of total land/EEZ area,Country,1950,0.1536526211
FRA,Terrestrial,Percent of total land/EEZ area,Country,1960,0.1633317847
FRA,Terrestrial,Percent of total land/EEZ area,Country,1970,3.293819378
FRA,Terrestrial,Percent of total land/EEZ area,Country,1980,8.05157124
FRA,Terrestrial,Percent of total land/EEZ area,Country,1985,8.246253672
FRA,Terrestrial,Percent of total land/EEZ area,Country,1990,10.32601064
FRA,Terrestrial,Percent of total land/EEZ area,Country,1995,12.07759474
FRA,Terrestrial,Percent of total land/EEZ area,Country,2000,14.53771002
FRA,Terrestrial,Percent of total land/EEZ area,Country,2001,14.97338722
FRA,Terrestrial,Percent of total land/EEZ area,Country,2002,14.97814478
FRA,Terrestrial,Percent of total land/EEZ area,Country,2003,15.92876989
FRA,Terrestrial,Percent of total land/EEZ area,Country,2004,18.61357301
FRA,Terrestrial,Percent of total land/EEZ area,Country,2005,18.70813352
FRA,Terrestrial,Percent of total land/EEZ area,Country,2006,20.30775475
FRA,Terrestrial,Percent of total land/EEZ area,Country,2007,20.93424272
FRA,Terrestrial,Percent of total land/EEZ area,Country,2008,21.69144861
FRA,Terrestrial,Percent of total land/EEZ area,Country,2009,22.20016248
FRA,Terrestrial,Percent of total land/EEZ area,Country,2010,22.20263969
FRA,Terrestrial,Percent of total land/EEZ area,Country,2011,22.47167122
FRA,Terrestrial,Percent of total land/EEZ area,Country,2012,22.862611
FRA,Terrestrial,Percent of total land/EEZ area,Country,2013,22.91694556
FRA,Terrestrial,Percent of total land/EEZ area,Country,2014,23.32289624
FRA,Terrestrial,Percent of total land/EEZ area,Country,2015,23.93340539
FRA,Terrestrial,Percent of total land/EEZ area,Country,2016,24.1601603
FRA,Terrestrial,Percent of total land/EEZ area,Country,2017,24.57898919
FRA,Terrestrial,Percent of total land/EEZ area,Country,2018,26.15454376
FRA,Terrestrial,Percent of total land/EEZ area,Country,2019,27.25437564
FRA,Terrestrial,Percent of total land/EEZ area,Country,2020,27.25437564
FRA,Terrestrial,Percent of total land/EEZ area,Country,2021,27.25437564
DEU,Terrestrial,Percent of total land/EEZ area,Country,1950,0.6375660121
DEU,Terrestrial,Percent of total land/EEZ area,Country,1960,1.243671266
DEU,Terrestrial,Percent of total land/EEZ area,Country,1970,3.808669142
DEU,Terrestrial,Percent of total land/EEZ area,Country,1980,7.017363715
DEU,Terrestrial,Percent of total land/EEZ area,Country,1985,9.183488627
DEU,Terrestrial,Percent of total land/EEZ area,Country,1990,13.09673262
DEU,Terrestrial,Percent of total land/EEZ area,Country,1995,16.5447762
DEU,Terrestrial,Percent of total land/EEZ area,Country,2000,21.64015755
DEU,Terrestrial,Percent of total land/EEZ area,Country,2001,23.59556855
DEU,Terrestrial,Percent of total land/EEZ area,Country,2002,23.97269398
DEU,Terrestrial,Percent of total land/EEZ area,Country,2003,24.59121478
DEU,Terrestrial,Percent of total land/EEZ area,Country,2004,28.53708008
DEU,Terrestrial,Percent of total land/EEZ area,Country,2005,29.44702006
DEU,Terrestrial,Percent of total land/EEZ area,Country,2006,30.69321424
DEU,Terrestrial,Percent of total land/EEZ area,Country,2007,33.01906494
DEU,Terrestrial,Percent of total land/EEZ area,Country,2008,34.4091354
DEU,Terrestrial,Percent of total land/EEZ area,Country,2009,34.7393346
DEU,Terrestrial,Percent of total land/EEZ area,Country,2010,34.93710596
DEU,Terrestrial,Percent of total land/EEZ area,Country,2011,35.19956487
DEU,Terrestrial,Percent of total land/EEZ area,Country,2012,35.44615464
DEU,Terrestrial,Percent of total land/EEZ area,Country,2013,35.76961766
DEU,Terrestrial,Percent of total land/EEZ area,Country,2014,36.03142062
DEU,Terrestrial,Percent of total land/EEZ area,Country,2015,36.17994466
DEU,Terrestrial,Percent of total land/EEZ area,Country,2016,36.82081569
DEU,Terrestrial,Percent of total land/EEZ area,Country,2017,37.03786212
DEU,Terrestrial,Percent of total land/EEZ area,Country,2018,37.78136536
DEU,Terrestrial,Percent of total land/EEZ area,Country,2019,37.78146628
DEU,Terrestrial,Percent of total land/EEZ area,Country,2020,37.78146628
DEU,Terrestrial,Percent of total land/EEZ area,Country,2021,37.78146628
GRC,Terrestrial,Percent of total land/EEZ area,Country,1950,0.5034335183
GRC,Terrestrial,Percent of total land/EEZ area,Country,1960,0.5056710006
GRC,Terrestrial,Percent of total land/EEZ area,Country,1970,0.6691428137
GRC,Terrestrial,Percent of total land/EEZ area,Country,1980,4.257454206
GRC,Terrestrial,Percent of total land/EEZ area,Country,1985,5.282899126
GRC,Terrestrial,Percent of total land/EEZ area,Country,1990,8.949318992
GRC,Terrestrial,Percent of total land/EEZ area,Country,1995,9.984595273
GRC,Terrestrial,Percent of total land/EEZ area,Country,2000,12.22472187
GRC,Terrestrial,Percent of total land/EEZ area,Country,2001,14.58546911
GRC,Terrestrial,Percent of total land/EEZ area,Country,2002,17.59122148
GRC,Terrestrial,Percent of total land/EEZ area,Country,2003,17.82907262
GRC,Terrestrial,Percent of total land/EEZ area,Country,2004,18.23771826
GRC,Terrestrial,Percent of total land/EEZ area,Country,2005,19.54047538
GRC,Terrestrial,Percent of total land/EEZ area,Country,2006,27.30189467
GRC,Terrestrial,Percent of total land/EEZ area,Country,2007,27.38712241
GRC,Terrestrial,Percent of total land/EEZ area,Country,2008,30.19034872
GRC,Terrestrial,Percent of total land/EEZ area,Country,2009,31.64037286
GRC,Terrestrial,Percent of total land/EEZ area,Country,2010,35.13803232
GRC,Terrestrial,Percent of total land/EEZ area,Country,2011,35.13803232
GRC,Terrestrial,Percent of total land/EEZ area,Country,2012,35.13945617
GRC,Terrestrial,Percent of total land/EEZ area,Country,2013,35.13952397
GRC,Terrestrial,Percent of total land/EEZ area,Country,2014,35.13952397
GRC,Terrestrial,Percent of total land/EEZ area,Country,2015,35.13952397
GRC,Terrestrial,Percent of total land/EEZ area,Country,2016,35.13952397
GRC,Terrestrial,Percent of total land/EEZ area,Country,2017,35.13952397
GRC,Terrestrial,Percent of total land/EEZ area,Country,2018,35.13952397
GRC,Terrestrial,Percent of total land/EEZ area,Country,2019,35.13952397
GRC,Terrestrial,Percent of total land/EEZ area,Country,2020,35.13952397
GRC,Terrestrial,Percent of total land/EEZ area,Country,2021,35.13952397
HUN,Terrestrial,Percent of total land/EEZ area,Country,1950,0.0225314522
HUN,Terrestrial,Percent of total land/EEZ area,Country,1960,0.0689481777
HUN,Terrestrial,Percent of total land/EEZ area,Country,1970,0.0772645076
HUN,Terrestrial,Percent of total land/EEZ area,Country,1980,3.481254412
HUN,Terrestrial,Percent of total land/EEZ area,Country,1985,4.355436076
HUN,Terrestrial,Percent of total land/EEZ area,Country,1990,6.078850412
HUN,Terrestrial,Percent of total land/EEZ area,Country,1995,6.897138602
HUN,Terrestrial,Percent of total land/EEZ area,Country,2000,9.418340409
HUN,Terrestrial,Percent of total land/EEZ area,Country,2001,9.437874114
HUN,Terrestrial,Percent of total land/EEZ area,Country,2002,9.905619325
HUN,Terrestrial,Percent of total land/EEZ area,Country,2003,9.912775237
HUN,Terrestrial,Percent of total land/EEZ area,Country,2004,17.27736895
HUN,Terrestrial,Percent of total land/EEZ area,Country,2005,17.28249413
HUN,Terrestrial,Percent of total land/EEZ area,Country,2006,17.37832532
HUN,Terrestrial,Percent of total land/EEZ area,Country,2007,17.44379225
HUN,Terrestrial,Percent of total land/EEZ area,Country,2008,17.44524277
HUN,Terrestrial,Percent of total land/EEZ area,Country,2009,17.45442941
HUN,Terrestrial,Percent of total land/EEZ area,Country,2010,22.43919892
HUN,Terrestrial,Percent of total land/EEZ area,Country,2011,22.55849636
HUN,Terrestrial,Percent of total land/EEZ area,Country,2012,22.60829763
HUN,Terrestrial,Percent of total land/EEZ area,Country,2013,22.6188381
HUN,Terrestrial,Percent of total land/EEZ area,Country,2014,22.61922491
HUN,Terrestrial,Percent of total land/EEZ area,Country,2015,22.61961171
HUN,Terrestrial,Percent of total land/EEZ area,Country,2016,22.61961171
HUN,Terrestrial,Percent of total land/EEZ area,Country,2017,22.62067543
HUN,Terrestrial,Percent of total land/EEZ area,Country,2018,22.62067543
HUN,Terrestrial,Percent of total land/EEZ area,Country,2019,22.62067543
HUN,Terrestrial,Percent of total land/EEZ area,Country,2020,22.62067543
HUN,Terrestrial,Percent of total land/EEZ area,Country,2021,22.62067543
ISL,Terrestrial,Percent of total land/EEZ area,Country,1950,0.1952111144
ISL,Terrestrial,Percent of total land/EEZ area,Country,1960,0.1952111144
ISL,Terrestrial,Percent of total land/EEZ area,Country,1970,0.1952111144
ISL,Terrestrial,Percent of total land/EEZ area,Country,1980,2.26894363
ISL,Terrestrial,Percent of total land/EEZ area,Country,1985,2.917855339
ISL,Terrestrial,Percent of total land/EEZ area,Country,1990,4.616500495
ISL,Terrestrial,Percent of total land/EEZ area,Country,1995,4.631659101
ISL,Terrestrial,Percent of total land/EEZ area,Country,2000,4.639679061
ISL,Terrestrial,Percent of total land/EEZ area,Country,2001,4.806159329
ISL,Terrestrial,Percent of total land/EEZ area,Country,2002,4.806688118
ISL,Terrestrial,Percent of total land/EEZ area,Country,2003,4.868644512
ISL,Terrestrial,Percent of total land/EEZ area,Country,2004,5.092674604
ISL,Terrestrial,Percent of total land/EEZ area,Country,2005,5.483008701
ISL,Terrestrial,Percent of total land/EEZ area,Country,2006,5.48847285
ISL,Terrestrial,Percent of total land/EEZ area,Country,2007,5.512356467
ISL,Terrestrial,Percent of total land/EEZ area,Country,2008,5.512356467
ISL,Terrestrial,Percent of total land/EEZ area,Country,2009,19.69455409
ISL,Terrestrial,Percent of total land/EEZ area,Country,2010,19.69455409
ISL,Terrestrial,Percent of total land/EEZ area,Country,2011,19.72099352
ISL,Terrestrial,Percent of total land/EEZ area,Country,2012,19.7313049
ISL,Terrestrial,Percent of total land/EEZ area,Country,2013,20.38366353
ISL,Terrestrial,Percent of total land/EEZ area,Country,2014,20.38445671
ISL,Terrestrial,Percent of total land/EEZ area,Country,2015,20.38445671
ISL,Terrestrial,Percent of total land/EEZ area,Country,2016,20.45848711
ISL,Terrestrial,Percent of total land/EEZ area,Country,2017,20.45848711
ISL,Terrestrial,Percent of total land/EEZ area,Country,2018,20.45848711
ISL,Terrestrial,Percent of total land/EEZ area,Country,2019,20.45928029
ISL,Terrestrial,Percent of total land/EEZ area,Country,2020,20.45928029
ISL,Terrestrial,Percent of total land/EEZ area,Country,2021,20.45928029
IRL,Terrestrial,Percent of total land/EEZ area,Country,1950,9.731218976
IRL,Terrestrial,Percent of total land/EEZ area,Country,1960,9.731218976
IRL,Terrestrial,Percent of total land/EEZ area,Country,1970,9.731218976
IRL,Terrestrial,Percent of total land/EEZ area,Country,1980,9.731218976
IRL,Terrestrial,Percent of total land/EEZ area,Country,1985,9.760998859
IRL,Terrestrial,Percent of total land/EEZ area,Country,1990,9.830446981
IRL,Terrestrial,Percent of total land/EEZ area,Country,1995,10.32760598
IRL,Terrestrial,Percent of total land/EEZ area,Country,2000,10.5347161
IRL,Terrestrial,Percent of total land/EEZ area,Country,2001,10.5347161
IRL,Terrestrial,Percent of total land/EEZ area,Country,2002,10.53949523
IRL,Terrestrial,Percent of total land/EEZ area,Country,2003,10.69694829
IRL,Terrestrial,Percent of total land/EEZ area,Country,2004,10.71851897
IRL,Terrestrial,Percent of total land/EEZ area,Country,2005,11.28400665
IRL,Terrestrial,Percent of total land/EEZ area,Country,2006,11.43332227
IRL,Terrestrial,Percent of total land/EEZ area,Country,2007,13.62797765
IRL,Terrestrial,Percent of total land/EEZ area,Country,2008,13.63340261
IRL,Terrestrial,Percent of total land/EEZ area,Country,2009,13.64670668
IRL,Terrestrial,Percent of total land/EEZ area,Country,2010,13.66013992
IRL,Terrestrial,Percent of total land/EEZ area,Country,2011,13.67538148
IRL,Terrestrial,Percent of total land/EEZ area,Country,2012,13.67589814
IRL,Terrestrial,Percent of total land/EEZ area,Country,2013,13.67770646
IRL,Terrestrial,Percent of total land/EEZ area,Country,2014,13.67770646
IRL,Terrestrial,Percent of total land/EEZ area,Country,2015,13.67770646
IRL,Terrestrial,Percent of total land/EEZ area,Country,2016,13.74693931
IRL,Terrestrial,Percent of total land/EEZ area,Country,2017,13.88488834
IRL,Terrestrial,Percent of total land/EEZ area,Country,2018,14.0177999
IRL,Terrestrial,Percent of total land/EEZ area,Country,2019,14.21787766
IRL,Terrestrial,Percent of total land/EEZ area,Country,2020,14.21787766
IRL,Terrestrial,Percent of total land/EEZ area,Country,2021,14.21787766
ITA,Terrestrial,Percent of total land/EEZ area,Country,1950,1.603597651
ITA,Terrestrial,Percent of total land/EEZ area,Country,1960,1.60362747
ITA,Terrestrial,Percent of total land/EEZ area,Country,1970,1.604343135
ITA,Terrestrial,Percent of total land/EEZ area,Country,1980,2.352153944
ITA,Terrestrial,Percent of total land/EEZ area,Country,1985,2.817575075
ITA,Terrestrial,Percent of total land/EEZ area,Country,1990,5.804733054
ITA,Terrestrial,Percent of total land/EEZ area,Country,1995,8.027262085
ITA,Terrestrial,Percent of total land/EEZ area,Country,2000,11.32400503
ITA,Terrestrial,Percent of total land/EEZ area,Country,2001,11.35340696
ITA,Terrestrial,Percent of total land/EEZ area,Country,2002,11.48237584
